,Insured,Not_Insured,County,Year,Percent_Insured,Percent_Uninsured,FIPS Code
117,27282,4910,Dyer,2011,84.75,15.25,47045.0
118,27459,4532,Fayette,2011,85.83,14.17,47047.0
119,12137,2639,Fentress,2011,82.14,17.86,47049.0
120,27029,5050,Franklin,2011,84.26,15.74,47051.0
121,34670,6551,Gibson,2011,84.11,15.89,47053.0
122,19764,4075,Giles,2011,82.91,17.09,47055.0
123,15437,3558,Grainger,2011,81.27,18.73,47057.0
124,45643,10164,Greene,2011,81.79,18.21,47059.0
125,8992,2028,Grundy,2011,81.6,18.4,47061.0
126,42033,10395,Hamblen,2011,80.17,19.83,47063.0
127,236177,45805,Hamilton,2011,83.76,16.24,47065.0
128,4469,983,Hancock,2011,81.97,18.03,47067.0
129,16205,3148,Hardeman,2011,83.73,16.27,47069.0
130,17074,3822,Hardin,2011,81.71,18.29,47071.0
131,39299,7439,Hawkins,2011,84.08,15.92,47073.0
132,13091,2608,Haywood,2011,83.39,16.61,47075.0
133,19817,3763,Henderson,2011,84.04,15.96,47077.0
134,21090,4556,Henry,2011,82.24,17.76,47079.0
135,15887,3635,Hickman,2011,81.38,18.62,47081.0
136,5616,1138,Houston,2011,83.15,16.85,47083.0
137,12435,2556,Humphreys,2011,82.95,17.05,47085.0
138,7490,1760,Jackson,2011,80.97,19.03,47087.0
139,34340,7306,Jefferson,2011,82.46,17.54,47089.0
140,10840,2309,Johnson,2011,82.44,17.56,47091.0
141,312695,54572,Knox,2011,85.14,14.86,47093.0
142,3673,695,Lake,2011,84.09,15.91,47095.0
143,18006,3516,Lauderdale,2011,83.66,16.34,47097.0
144,28887,6146,Lawrence,2011,82.46,17.54,47099.0
145,8166,1910,Lewis,2011,81.04,18.96,47101.0
146,22995,4547,Lincoln,2011,83.49,16.51,47103.0
147,31467,6405,Loudon,2011,83.09,16.91,47105.0
148,35496,7339,McMinn,2011,82.87,17.13,47107.0
149,17658,3689,McNairy,2011,82.72,17.28,47109.0
150,15147,3981,Macon,2011,79.19,20.81,47111.0
151,67719,13508,Madison,2011,83.37,16.63,47113.0
152,19483,3942,Marion,2011,83.17,16.83,47115.0
153,21491,5022,Marshall,2011,81.06,18.94,47117.0
154,58842,10998,Maury,2011,84.25,15.75,47119.0
155,7946,1642,Meigs,2011,82.87,17.13,47121.0
156,29915,7097,Monroe,2011,80.83,19.17,47123.0
157,133645,25444,Montgomery,2011,84.01,15.99,47125.0
158,4304,829,Moore,2011,83.85,16.15,47127.0
159,13613,2767,Morgan,2011,83.11,16.89,47129.0
160,21884,4144,Obion,2011,84.08,15.92,47131.0
161,14988,3166,Overton,2011,82.56,17.44,47133.0
162,5085,1244,Perry,2011,80.34,19.66,47135.0
163,3066,879,Pickett,2011,77.72,22.28,47137.0
164,11198,2542,Polk,2011,81.5,18.5,47139.0
165,47512,12171,Putnam,2011,79.61,20.39,47141.0
166,21575,4574,Rhea,2011,82.51,17.49,47143.0
167,36704,6409,Roane,2011,85.13,14.87,47145.0
168,48109,10326,Robertson,2011,82.33,17.67,47147.0
169,201127,39817,Rutherford,2011,83.47,16.53,47149.0
170,15407,3462,Scott,2011,81.65,18.35,47151.0
171,9755,2075,Sequatchie,2011,82.46,17.54,47153.0
172,59352,16914,Sevier,2011,77.82,22.18,47155.0
173,668860,148501,Shelby,2011,81.83,18.17,47157.0
174,13663,2737,Smith,2011,83.31,16.69,47159.0
175,8996,1887,Stewart,2011,82.66,17.34,47161.0
176,106085,19688,Sullivan,2011,84.35,15.65,47163.0
177,119621,21253,Sumner,2011,84.91,15.09,47165.0
178,45688,7540,Tipton,2011,85.83,14.17,47167.0
179,5477,1208,Trousdale,2011,81.93,18.07,47169.0
180,12003,2541,Unicoi,2011,82.53,17.47,47171.0
181,13325,3057,Union,2011,81.34,18.66,47173.0
182,3612,837,Van Buren,2011,81.19,18.81,47175.0
183,26430,7078,Warren,2011,78.88,21.12,47177.0
184,83787,17287,Washington,2011,82.9,17.1,47179.0
185,9843,2399,Wayne,2011,80.4,19.6,47181.0
186,22692,4920,Weakley,2011,82.18,17.82,47183.0
187,17420,3837,White,2011,81.95,18.05,47185.0
188,151292,15370,Williamson,2011,90.78,9.22,47187.0
189,86608,13860,Wilson,2011,86.2,13.8,47189.0
190,52679,8602,Anderson,2010,85.96,14.04,47001.0
191,30357,8542,Bedford,2010,78.04,21.96,47003.0
192,10768,2333,Benton,2010,82.19,17.81,47005.0
193,7957,1846,Bledsoe,2010,81.17,18.83,47007.0
194,86269,15189,Blount,2010,85.03,14.97,47009.0
195,68534,13911,Bradley,2010,83.13,16.87,47011.0
196,27800,5493,Campbell,2010,83.5,16.5,47013.0
197,9434,2038,Cannon,2010,82.24,17.76,47015.0
198,18977,3656,Carroll,2010,83.85,16.15,47017.0
199,38093,8272,Carter,2010,82.16,17.84,47019.0
200,28995,5523,Cheatham,2010,84.0,16.0,47021.0
201,11261,2187,Chester,2010,83.74,16.26,47023.0
202,21844,4122,Claiborne,2010,84.13,15.87,47025.0
203,5069,1167,Clay,2010,81.29,18.71,47027.0
204,24125,5285,Cocke,2010,82.03,17.97,47029.0
205,36547,7384,Coffee,2010,83.19,16.81,47031.0
206,9720,2371,Crockett,2010,80.39,19.61,47033.0
207,33284,7963,Cumberland,2010,80.69,19.31,47035.0
208,431740,106801,Davidson,2010,80.17,19.83,47037.0
209,7568,1660,Decatur,2010,82.01,17.99,47039.0
210,12321,3234,DeKalb,2010,79.21,20.79,
211,36010,6621,Dickson,2010,84.47,15.53,47043.0
212,27595,4811,Dyer,2010,85.15,14.85,47045.0
213,27500,4736,Fayette,2010,85.31,14.69,47047.0
214,12107,2679,Fentress,2010,81.88,18.12,47049.0
215,27224,4990,Franklin,2010,84.51,15.49,47051.0
216,34587,6441,Gibson,2010,84.3,15.7,47053.0
217,20000,3960,Giles,2010,83.47,16.53,47055.0
218,15475,3502,Grainger,2010,81.55,18.45,47057.0
219,45837,9689,Greene,2010,82.55,17.45,47059.0
220,9276,1904,Grundy,2010,82.97,17.03,47061.0
221,41913,10214,Hamblen,2010,80.41,19.59,47063.0
222,233634,45813,Hamilton,2010,83.61,16.39,47065.0
223,4571,971,Hancock,2010,82.48,17.52,47067.0
224,16552,3200,Hardeman,2010,83.8,16.2,47069.0
225,17323,3763,Hardin,2010,82.15,17.85,47071.0
226,39812,7247,Hawkins,2010,84.6,15.4,47073.0
227,13179,2818,Haywood,2010,82.38,17.62,47075.0
228,19700,3730,Henderson,2010,84.08,15.92,47077.0
229,21324,4332,Henry,2010,83.12,16.88,47079.0
230,16392,3405,Hickman,2010,82.8,17.2,47081.0
231,5653,1217,Houston,2010,82.29,17.71,47083.0
232,12678,2445,Humphreys,2010,83.83,16.17,47085.0
233,7759,1720,Jackson,2010,81.85,18.15,47087.0
234,34374,7237,Jefferson,2010,82.61,17.39,47089.0
235,11024,2252,Johnson,2010,83.04,16.96,47091.0
236,311607,53027,Knox,2010,85.46,14.54,47093.0
237,3731,681,Lake,2010,84.56,15.44,47095.0
238,18064,3519,Lauderdale,2010,83.7,16.3,47097.0
239,28750,6176,Lawrence,2010,82.32,17.68,47099.0
240,8206,1888,Lewis,2010,81.3,18.7,47101.0
241,23403,4167,Lincoln,2010,84.89,15.11,47103.0
242,31499,6372,Loudon,2010,83.17,16.83,47105.0
243,35719,6979,McMinn,2010,83.65,16.35,47107.0
244,17792,3604,McNairy,2010,83.16,16.84,47109.0
245,15059,3883,Macon,2010,79.5,20.5,47111.0
246,68658,12945,Madison,2010,84.14,15.86,47113.0
247,19625,3963,Marion,2010,83.2,16.8,47115.0
248,21538,4836,Marshall,2010,81.66,18.34,47117.0
249,58747,11035,Maury,2010,84.19,15.81,47119.0
250,8132,1607,Meigs,2010,83.5,16.5,47121.0
251,30222,6657,Monroe,2010,81.95,18.05,47123.0
252,134417,21403,Montgomery,2010,86.26,13.74,47125.0
253,4348,785,Moore,2010,84.71,15.29,47127.0
254,13820,2697,Morgan,2010,83.67,16.33,47129.0
255,21857,4264,Obion,2010,83.68,16.32,47131.0
256,15061,3072,Overton,2010,83.06,16.94,47133.0
257,5096,1278,Perry,2010,79.95,20.05,47135.0
258,3074,835,Pickett,2010,78.64,21.36,47137.0
259,11365,2398,Polk,2010,82.58,17.42,47139.0
260,48270,11109,Putnam,2010,81.29,18.71,47141.0
261,21543,4460,Rhea,2010,82.85,17.15,47143.0
262,37460,6117,Roane,2010,85.96,14.04,47145.0
263,48171,9792,Robertson,2010,83.11,16.89,47147.0
264,200034,36554,Rutherford,2010,84.55,15.45,47149.0
265,15623,3325,Scott,2010,82.45,17.55,47151.0
266,9711,2026,Sequatchie,2010,82.74,17.26,47153.0
267,59071,16161,Sevier,2010,78.52,21.48,47155.0
268,670665,143767,Shelby,2010,82.35,17.65,47157.0
269,13633,2762,Smith,2010,83.15,16.85,47159.0
270,9185,1838,Stewart,2010,83.33,16.67,47161.0
271,106404,19222,Sullivan,2010,84.7,15.3,47163.0
272,117854,21472,Sumner,2010,84.59,15.41,47165.0
273,45668,7541,Tipton,2010,85.83,14.17,47167.0
274,5548,1180,Trousdale,2010,82.46,17.54,47169.0
275,12174,2352,Unicoi,2010,83.81,16.19,47171.0
276,13295,2980,Union,2010,81.69,18.31,47173.0
277,3697,827,Van Buren,2010,81.72,18.28,47175.0
278,26084,7325,Warren,2010,78.07,21.93,47177.0
279,85467,15135,Washington,2010,84.96,15.04,47179.0
280,10052,2232,Wayne,2010,81.83,18.17,47181.0
281,22581,5064,Weakley,2010,81.68,18.32,47183.0
282,17299,3745,White,2010,82.2,17.8,47185.0
283,149970,13859,Williamson,2010,91.54,8.46,47187.0
284,86631,12556,Wilson,2010,87.34,12.66,47189.0
285,51838,9447,Anderson,2011,84.59,15.41,47001.0
286,31089,8060,Bedford,2011,79.41,20.59,47003.0
287,10609,2424,Benton,2011,81.4,18.6,47005.0
288,7705,2074,Bledsoe,2011,78.79,21.21,47007.0
289,85285,16424,Blount,2011,83.85,16.15,47009.0
290,67955,15233,Bradley,2011,81.69,18.31,47011.0
291,27713,5497,Campbell,2011,83.45,16.55,47013.0
292,9439,1933,Cannon,2011,83.0,17.0,47015.0
293,18915,3638,Carroll,2011,83.87,16.13,47017.0
294,37885,8340,Carter,2011,81.96,18.04,47019.0
295,29066,5235,Cheatham,2011,84.74,15.26,47021.0
296,11090,2388,Chester,2011,82.28,17.72,47023.0
297,21636,4177,Claiborne,2011,83.82,16.18,47025.0
298,4939,1224,Clay,2011,80.14,19.86,47027.0
299,23801,5447,Cocke,2011,81.38,18.62,47029.0
300,36490,7630,Coffee,2011,82.71,17.29,47031.0
301,9836,2283,Crockett,2011,81.16,18.84,47033.0
302,33210,8156,Cumberland,2011,80.28,19.72,47035.0
303,438566,105807,Davidson,2011,80.56,19.44,47037.0
304,7495,1691,Decatur,2011,81.59,18.41,47039.0
305,12513,3172,DeKalb,2011,79.78,20.22,
306,35325,7573,Dickson,2011,82.35,17.65,47043.0
307,27282,4910,Dyer,2011,84.75,15.25,47045.0
308,27459,4532,Fayette,2011,85.83,14.17,47047.0
309,12137,2639,Fentress,2011,82.14,17.86,47049.0
310,27029,5050,Franklin,2011,84.26,15.74,47051.0
311,34670,6551,Gibson,2011,84.11,15.89,47053.0
312,19764,4075,Giles,2011,82.91,17.09,47055.0
313,15437,3558,Grainger,2011,81.27,18.73,47057.0
314,45643,10164,Greene,2011,81.79,18.21,47059.0
315,8992,2028,Grundy,2011,81.6,18.4,47061.0
316,42033,10395,Hamblen,2011,80.17,19.83,47063.0
317,236177,45805,Hamilton,2011,83.76,16.24,47065.0
318,4469,983,Hancock,2011,81.97,18.03,47067.0
319,16205,3148,Hardeman,2011,83.73,16.27,47069.0
320,17074,3822,Hardin,2011,81.71,18.29,47071.0
321,39299,7439,Hawkins,2011,84.08,15.92,47073.0
322,13091,2608,Haywood,2011,83.39,16.61,47075.0
323,19817,3763,Henderson,2011,84.04,15.96,47077.0
324,21090,4556,Henry,2011,82.24,17.76,47079.0
325,15887,3635,Hickman,2011,81.38,18.62,47081.0
326,5616,1138,Houston,2011,83.15,16.85,47083.0
327,12435,2556,Humphreys,2011,82.95,17.05,47085.0
328,7490,1760,Jackson,2011,80.97,19.03,47087.0
329,34340,7306,Jefferson,2011,82.46,17.54,47089.0
330,10840,2309,Johnson,2011,82.44,17.56,47091.0
331,312695,54572,Knox,2011,85.14,14.86,47093.0
332,3673,695,Lake,2011,84.09,15.91,47095.0
333,18006,3516,Lauderdale,2011,83.66,16.34,47097.0
334,28887,6146,Lawrence,2011,82.46,17.54,47099.0
335,8166,1910,Lewis,2011,81.04,18.96,47101.0
336,22995,4547,Lincoln,2011,83.49,16.51,47103.0
337,31467,6405,Loudon,2011,83.09,16.91,47105.0
338,35496,7339,McMinn,2011,82.87,17.13,47107.0
339,17658,3689,McNairy,2011,82.72,17.28,47109.0
340,15147,3981,Macon,2011,79.19,20.81,47111.0
341,67719,13508,Madison,2011,83.37,16.63,47113.0
342,19483,3942,Marion,2011,83.17,16.83,47115.0
343,21491,5022,Marshall,2011,81.06,18.94,47117.0
344,58842,10998,Maury,2011,84.25,15.75,47119.0
345,7946,1642,Meigs,2011,82.87,17.13,47121.0
346,29915,7097,Monroe,2011,80.83,19.17,47123.0
347,133645,25444,Montgomery,2011,84.01,15.99,47125.0
348,4304,829,Moore,2011,83.85,16.15,47127.0
349,13613,2767,Morgan,2011,83.11,16.89,47129.0
350,21884,4144,Obion,2011,84.08,15.92,47131.0
351,14988,3166,Overton,2011,82.56,17.44,47133.0
352,5085,1244,Perry,2011,80.34,19.66,47135.0
353,3066,879,Pickett,2011,77.72,22.28,47137.0
354,11198,2542,Polk,2011,81.5,18.5,47139.0
355,47512,12171,Putnam,2011,79.61,20.39,47141.0
356,21575,4574,Rhea,2011,82.51,17.49,47143.0
357,36704,6409,Roane,2011,85.13,14.87,47145.0
358,48109,10326,Robertson,2011,82.33,17.67,47147.0
359,201127,39817,Rutherford,2011,83.47,16.53,47149.0
360,15407,3462,Scott,2011,81.65,18.35,47151.0
361,9755,2075,Sequatchie,2011,82.46,17.54,47153.0
362,59352,16914,Sevier,2011,77.82,22.18,47155.0
363,668860,148501,Shelby,2011,81.83,18.17,47157.0
364,13663,2737,Smith,2011,83.31,16.69,47159.0
365,8996,1887,Stewart,2011,82.66,17.34,47161.0
366,106085,19688,Sullivan,2011,84.35,15.65,47163.0
367,119621,21253,Sumner,2011,84.91,15.09,47165.0
368,45688,7540,Tipton,2011,85.83,14.17,47167.0
369,5477,1208,Trousdale,2011,81.93,18.07,47169.0
370,12003,2541,Unicoi,2011,82.53,17.47,47171.0
371,13325,3057,Union,2011,81.34,18.66,47173.0
372,3612,837,Van Buren,2011,81.19,18.81,47175.0
373,26430,7078,Warren,2011,78.88,21.12,47177.0
374,83787,17287,Washington,2011,82.9,17.1,47179.0
375,9843,2399,Wayne,2011,80.4,19.6,47181.0
376,22692,4920,Weakley,2011,82.18,17.82,47183.0
377,17420,3837,White,2011,81.95,18.05,47185.0
378,151292,15370,Williamson,2011,90.78,9.22,47187.0
379,86608,13860,Wilson,2011,86.2,13.8,47189.0
380,52825,8247,Anderson,2012,86.5,13.5,47001.0
381,31123,7818,Bedford,2012,79.92,20.08,47003.0
382,10442,2398,Benton,2012,81.32,18.68,47005.0
383,7733,1861,Bledsoe,2012,80.6,19.4,47007.0
384,86257,14793,Blount,2012,85.36,14.64,47009.0
385,70201,13411,Bradley,2012,83.96,16.04,47011.0
386,27406,5347,Campbell,2012,83.67,16.33,47013.0
387,9379,1976,Cannon,2012,82.6,17.4,47015.0
388,18665,3661,Carroll,2012,83.6,16.4,47017.0
389,37786,7900,Carter,2012,82.71,17.29,47019.0
390,28776,5497,Cheatham,2012,83.96,16.04,47021.0
391,11191,2119,Chester,2012,84.08,15.92,47023.0
392,21107,4110,Claiborne,2012,83.7,16.3,47025.0
393,4954,1125,Clay,2012,81.49,18.51,47027.0
394,23803,5209,Cocke,2012,82.05,17.95,47029.0
395,36566,7549,Coffee,2012,82.89,17.11,47031.0
396,9729,2354,Crockett,2012,80.52,19.48,47033.0
397,33445,7492,Cumberland,2012,81.7,18.3,47035.0
398,451190,103496,Davidson,2012,81.34,18.66,47037.0
399,7393,1640,Decatur,2012,81.84,18.16,47039.0
400,12488,3101,DeKalb,2012,80.11,19.89,
401,36308,6617,Dickson,2012,84.58,15.42,47043.0
402,27547,4430,Dyer,2012,86.15,13.85,47045.0
403,27236,4426,Fayette,2012,86.02,13.98,47047.0
404,11864,2626,Fentress,2012,81.88,18.12,47049.0
405,26554,5086,Franklin,2012,83.93,16.07,47051.0
406,34610,6185,Gibson,2012,84.84,15.16,47053.0
407,19663,3685,Giles,2012,84.22,15.78,47055.0
408,15453,3236,Grainger,2012,82.69,17.31,47057.0
409,45423,9424,Greene,2012,82.82,17.18,47059.0
410,8862,2063,Grundy,2012,81.12,18.88,47061.0
411,41612,10065,Hamblen,2012,80.52,19.48,47063.0
412,239398,45171,Hamilton,2012,84.13,15.87,47065.0
413,4483,926,Hancock,2012,82.88,17.12,47067.0
414,15838,3038,Hardeman,2012,83.91,16.09,47069.0
415,17122,3575,Hardin,2012,82.73,17.27,47071.0
416,38841,7256,Hawkins,2012,84.26,15.74,47073.0
417,12848,2462,Haywood,2012,83.92,16.08,47075.0
418,19724,3741,Henderson,2012,84.06,15.94,47077.0
419,21113,4312,Henry,2012,83.04,16.96,47079.0
420,15709,3467,Hickman,2012,81.92,18.08,47081.0
421,5685,1117,Houston,2012,83.58,16.42,47083.0
422,12263,2487,Humphreys,2012,83.14,16.86,47085.0
423,7386,1749,Jackson,2012,80.85,19.15,47087.0
424,34339,7217,Jefferson,2012,82.63,17.37,47089.0
425,10598,2277,Johnson,2012,82.31,17.69,47091.0
426,314899,54706,Knox,2012,85.2,14.8,47093.0
427,3578,685,Lake,2012,83.93,16.07,47095.0
428,17799,3551,Lauderdale,2012,83.37,16.63,47097.0
429,28607,6168,Lawrence,2012,82.26,17.74,47099.0
430,7907,1826,Lewis,2012,81.24,18.76,47101.0
431,23250,4163,Lincoln,2012,84.81,15.19,47103.0
432,31581,6291,Loudon,2012,83.39,16.61,47105.0
433,35119,7338,McMinn,2012,82.72,17.28,47107.0
434,17649,3544,McNairy,2012,83.28,16.72,47109.0
435,15216,3746,Macon,2012,80.24,19.76,47111.0
436,67680,13369,Madison,2012,83.51,16.49,47113.0
437,19502,3778,Marion,2012,83.77,16.23,47115.0
438,21613,4647,Marshall,2012,82.3,17.7,47117.0
439,58740,11023,Maury,2012,84.2,15.8,47119.0
440,7866,1596,Meigs,2012,83.13,16.87,47121.0
441,29853,6820,Monroe,2012,81.4,18.6,47123.0
442,141965,23940,Montgomery,2012,85.57,14.43,47125.0
443,4234,794,Moore,2012,84.21,15.79,47127.0
444,13520,2706,Morgan,2012,83.32,16.68,47129.0
445,21154,4251,Obion,2012,83.27,16.73,47131.0
446,15003,2986,Overton,2012,83.4,16.6,47133.0
447,5045,1225,Perry,2012,80.46,19.54,47135.0
448,3127,723,Pickett,2012,81.22,18.78,47137.0
449,11160,2357,Polk,2012,82.56,17.44,47139.0
450,47992,11557,Putnam,2012,80.59,19.41,47141.0
451,21851,4294,Rhea,2012,83.58,16.42,47143.0
452,36239,6144,Roane,2012,85.5,14.5,47145.0
453,48371,9508,Robertson,2012,83.57,16.43,47147.0
454,207020,37707,Rutherford,2012,84.59,15.41,47149.0
455,15501,3221,Scott,2012,82.8,17.2,47151.0
456,9744,2022,Sequatchie,2012,82.81,17.19,47153.0
457,59553,16871,Sevier,2012,77.92,22.08,47155.0
458,682412,136382,Shelby,2012,83.34,16.66,47157.0
459,13730,2494,Smith,2012,84.63,15.37,47159.0
460,9148,1726,Stewart,2012,84.13,15.87,47161.0
461,105407,19072,Sullivan,2012,84.68,15.32,47163.0
462,122505,19336,Sumner,2012,86.37,13.63,47165.0
463,45699,7536,Tipton,2012,85.84,14.16,47167.0
464,5470,1113,Trousdale,2012,83.09,16.91,47169.0
465,11988,2374,Unicoi,2012,83.47,16.53,47171.0
466,13182,2899,Union,2012,81.97,18.03,47173.0
467,3712,768,Van Buren,2012,82.86,17.14,47175.0
468,26511,6548,Warren,2012,80.19,19.81,47177.0
469,84569,16740,Washington,2012,83.48,16.52,47179.0
470,9924,2124,Wayne,2012,82.37,17.63,47181.0
471,22962,4240,Weakley,2012,84.41,15.59,47183.0
472,17327,3716,White,2012,82.34,17.66,47185.0
473,156310,13906,Williamson,2012,91.83,8.17,47187.0
474,88629,13090,Wilson,2012,87.13,12.87,47189.0
475,52745,8209,Anderson,2013,86.53,13.47,47001.0
476,30560,8512,Bedford,2013,78.21,21.79,47003.0
477,10341,2301,Benton,2013,81.8,18.2,47005.0
478,7551,1992,Bledsoe,2013,79.13,20.87,47007.0
479,86303,15031,Blount,2013,85.17,14.83,47009.0
480,68979,14887,Bradley,2013,82.25,17.75,47011.0
481,27006,5444,Campbell,2013,83.22,16.78,47013.0
