NIC_PT,NUI_PT,NAME,time,state,county
4457,902,"Hancock County, TN",2013,47,67
15718,2843,"Hardeman County, TN",2013,47,69
16953,3730,"Hardin County, TN",2013,47,71
38914,7058,"Hawkins County, TN",2013,47,73
12804,2476,"Haywood County, TN",2013,47,75
19801,3566,"Henderson County, TN",2013,47,77
20797,4373,"Henry County, TN",2013,47,79
15727,3421,"Hickman County, TN",2013,47,81
5500,1158,"Houston County, TN",2013,47,83
12234,2455,"Humphreys County, TN",2013,47,85
7428,1670,"Jackson County, TN",2013,47,87
34336,6891,"Jefferson County, TN",2013,47,89
10360,2299,"Johnson County, TN",2013,47,91
319214,51902,"Knox County, TN",2013,47,93
3638,655,"Lake County, TN",2013,47,95
18079,3290,"Lauderdale County, TN",2013,47,97
28803,5717,"Lawrence County, TN",2013,47,99
7831,1906,"Lewis County, TN",2013,47,101
23071,4365,"Lincoln County, TN",2013,47,103
31306,6813,"Loudon County, TN",2013,47,105
34953,7158,"McMinn County, TN",2013,47,107
17379,3648,"McNairy County, TN",2013,47,109
15381,3707,"Macon County, TN",2013,47,111
69018,11936,"Madison County, TN",2013,47,113
19723,3488,"Marion County, TN",2013,47,115
21682,4660,"Marshall County, TN",2013,47,117
59781,11199,"Maury County, TN",2013,47,119
7741,1606,"Meigs County, TN",2013,47,121
30005,6464,"Monroe County, TN",2013,47,123
141918,23166,"Montgomery County, TN",2013,47,125
4217,761,"Moore County, TN",2013,47,127
13472,2585,"Morgan County, TN",2013,47,129
20942,4213,"Obion County, TN",2013,47,131
14770,2987,"Overton County, TN",2013,47,133
5045,1195,"Perry County, TN",2013,47,135
3073,741,"Pickett County, TN",2013,47,137
11155,2312,"Polk County, TN",2013,47,139
48586,11080,"Putnam County, TN",2013,47,141
21920,4282,"Rhea County, TN",2013,47,143
36061,5738,"Roane County, TN",2013,47,145
48717,9374,"Robertson County, TN",2013,47,147
210150,39925,"Rutherford County, TN",2013,47,149
15526,3014,"Scott County, TN",2013,47,151
9934,1927,"Sequatchie County, TN",2013,47,153
59702,17153,"Sevier County, TN",2013,47,155
674925,141686,"Shelby County, TN",2013,47,157
13704,2414,"Smith County, TN",2013,47,159
9044,1795,"Stewart County, TN",2013,47,161
105317,18458,"Sullivan County, TN",2013,47,163
123575,20054,"Sumner County, TN",2013,47,165
45599,7338,"Tipton County, TN",2013,47,167
5383,1200,"Trousdale County, TN",2013,47,169
11830,2315,"Unicoi County, TN",2013,47,171
13103,2866,"Union County, TN",2013,47,173
3577,805,"Van Buren County, TN",2013,47,175
26295,6777,"Warren County, TN",2013,47,177
85643,15661,"Washington County, TN",2013,47,179
9724,2216,"Wayne County, TN",2013,47,181
22576,4262,"Weakley County, TN",2013,47,183
17549,3548,"White County, TN",2013,47,185
159358,15523,"Williamson County, TN",2013,47,187
90068,13518,"Wilson County, TN",2013,47,189
52883,7758,"Anderson County, TN",2014,47,1
32200,7354,"Bedford County, TN",2014,47,3
10463,1968,"Benton County, TN",2014,47,5
7783,1617,"Bledsoe County, TN",2014,47,7
88277,13293,"Blount County, TN",2014,47,9
71131,13220,"Bradley County, TN",2014,47,11
26969,4929,"Campbell County, TN",2014,47,13
9465,1712,"Cannon County, TN",2014,47,15
18915,3006,"Carroll County, TN",2014,47,17
37586,7007,"Carter County, TN",2014,47,19
29625,4647,"Cheatham County, TN",2014,47,21
11457,1828,"Chester County, TN",2014,47,23
21023,3648,"Claiborne County, TN",2014,47,25
4931,947,"Clay County, TN",2014,47,27
24119,4267,"Cocke County, TN",2014,47,29
37677,6502,"Coffee County, TN",2014,47,31
9887,2167,"Crockett County, TN",2014,47,33
34340,6623,"Cumberland County, TN",2014,47,35
476933,93801,"Davidson County, TN",2014,47,37
7496,1445,"Decatur County, TN",2014,47,39
12886,2822,"DeKalb County, TN",2014,47,41
36522,6053,"Dickson County, TN",2014,47,43
27379,3928,"Dyer County, TN",2014,47,45
27465,3880,"Fayette County, TN",2014,47,47
11857,2331,"Fentress County, TN",2014,47,49
27471,4261,"Franklin County, TN",2014,47,51
35152,5185,"Gibson County, TN",2014,47,53
19681,3285,"Giles County, TN",2014,47,55
15552,2997,"Grainger County, TN",2014,47,57
45403,8054,"Greene County, TN",2014,47,59
8765,1776,"Grundy County, TN",2014,47,61
42742,8690,"Hamblen County, TN",2014,47,63
249416,37436,"Hamilton County, TN",2014,47,65
4531,774,"Hancock County, TN",2014,47,67
15570,2552,"Hardeman County, TN",2014,47,69
17210,3118,"Hardin County, TN",2014,47,71
39724,5824,"Hawkins County, TN",2014,47,73
